,language,variant,sentence_len,sentence_pos,surprisalmean,surprisalsem,surprisalstd
60,de,Approx,15,0,3.90387,0.08611753,3.784275034766005
61,de,Approx,15,1,5.251292,0.1120515,4.923895268977196
62,de,Approx,15,2,5.614326,0.117862985,5.179270180055768
63,de,Approx,15,3,5.2588882,0.11045625,4.853795128080965
64,de,Approx,15,4,5.069663,0.10757172,4.727039601191768
65,de,Approx,15,5,5.2181416,0.11351169,4.988060504838634
66,de,Approx,15,6,5.290785,0.12232259,5.37523944620644
67,de,Approx,15,7,5.5133314,0.11597248,5.0961958999377375
68,de,Approx,15,8,5.485392,0.120480835,5.294306672457252
69,de,Approx,15,9,5.422011,0.11799105,5.184897673313508
70,de,Approx,15,10,5.4408236,0.11571123,5.084715281899817
71,de,Approx,15,11,5.5371614,0.11731486,5.155183554199864
72,de,Approx,15,12,5.685643,0.12529296,5.505766237123745
73,de,Approx,15,13,5.4127693,0.1254124,5.5110153751722
74,de,Approx,15,14,0.9185537,0.025691304,1.1289567177996334
75,de,Approx,16,0,3.8636715,0.0865936,3.654413939896441
76,de,Approx,16,1,5.1002994,0.106753126,4.50518443920732
77,de,Approx,16,2,5.4792604,0.116393164,4.912011927393174
78,de,Approx,16,3,5.0131364,0.10420222,4.397531080559641
79,de,Approx,16,4,5.3700385,0.12117794,5.113938718736657
80,de,Approx,16,5,5.271334,0.11717479,4.94499816055096
81,de,Approx,16,6,5.280131,0.11811656,4.98474268900536
82,de,Approx,16,7,5.2454734,0.108131066,4.56333609411617
83,de,Approx,16,8,5.145483,0.11287916,4.763714123871201
84,de,Approx,16,9,5.2861786,0.117979154,4.978943866104172
85,de,Approx,16,10,5.312574,0.11474688,4.842536025760459
86,de,Approx,16,11,5.304088,0.11384256,4.804371715426418
87,de,Approx,16,12,5.381578,0.11750105,4.958766848080567
88,de,Approx,16,13,5.746085,0.12746553,5.379287055589636
89,de,Approx,16,14,5.350515,0.13786808,5.818294363438948
90,de,Approx,16,15,0.8098164,0.021403186,0.9032550186118335
91,de,Approx,17,0,3.7690604,0.088956416,3.726626173956616
92,de,Approx,17,1,4.943328,0.11084619,4.643648979787815
93,de,Approx,17,2,5.3415937,0.10129658,4.243588880485516
94,de,Approx,17,3,5.205605,0.11172664,4.680533138380052
95,de,Approx,17,4,5.2171173,0.115380146,4.833587929889167
96,de,Approx,17,5,5.2879972,0.11643885,4.877940457329162
97,de,Approx,17,6,5.4008603,0.11901088,4.985689798975121
98,de,Approx,17,7,5.3901033,0.1182141,4.952309760688071
99,de,Approx,17,8,5.425514,0.11737251,4.917053850468037
100,de,Approx,17,9,5.5174813,0.1215734,5.09304036614703
101,de,Approx,17,10,5.3906536,0.12292824,5.149798696099182
102,de,Approx,17,11,5.3854194,0.11557084,4.8415768363862615
103,de,Approx,17,12,5.660183,0.12343265,5.1709293495086985
104,de,Approx,17,13,5.616648,0.12311981,5.15782336274669
105,de,Approx,17,14,5.8171577,0.12961136,5.429772087520735
106,de,Approx,17,15,5.2715616,0.12383853,5.187932976540676
107,de,Approx,17,16,0.81374437,0.02394249,1.003016064120297
108,de,Approx,18,0,3.8752122,0.08859138,3.6160045619314647
109,de,Approx,18,1,5.1801844,0.1192608,4.867827705510346
110,de,Approx,18,2,5.7000875,0.12133163,4.952352800285262
111,de,Approx,18,3,5.256342,0.11603287,4.736074301289949
112,de,Approx,18,4,5.300791,0.116823986,4.768365308126949
113,de,Approx,18,5,5.402148,0.11990257,4.894022976019316
114,de,Approx,18,6,5.182794,0.11459244,4.67728092969475
115,de,Approx,18,7,5.552161,0.11951675,4.878274911889204
116,de,Approx,18,8,5.5151577,0.12436278,5.076073934325656
117,de,Approx,18,9,5.234844,0.11486063,4.688227671518199
118,de,Approx,18,10,5.4071345,0.12485603,5.096206603131384
119,de,Approx,18,11,5.3972883,0.11871415,4.845515442241489
120,de,Approx,18,12,5.4849243,0.12002254,4.898919542594108
121,de,Approx,18,13,5.4791546,0.118677534,4.844020880179986
122,de,Approx,18,14,5.3666263,0.11636946,4.74981310546789
123,de,Approx,18,15,5.5310273,0.12828192,5.236039926222887
124,de,Approx,18,16,5.3092237,0.13088632,5.342342749070489
125,de,Approx,18,17,0.8058059,0.02307845,0.9419853113186358
126,de,Approx,19,0,3.8720284,0.09244887,3.644408916779199
127,de,Approx,19,1,5.084832,0.11592718,4.569942630906423
128,de,Approx,19,2,5.479424,0.122164935,4.815840172134077
129,de,Approx,19,3,5.3207316,0.12835963,5.060040494196241
130,de,Approx,19,4,5.21034,0.12837738,5.060739376369232
131,de,Approx,19,5,4.9912634,0.11701846,4.612961912329432
132,de,Approx,19,6,5.145179,0.1202082,4.738703815110264
133,de,Approx,19,7,5.451159,0.13496242,5.320328009877149
134,de,Approx,19,8,5.1538844,0.11754061,4.633545806857176
135,de,Approx,19,9,5.330507,0.12332847,4.861707633873279
136,de,Approx,19,10,5.486182,0.12244682,4.826952743160223
137,de,Approx,19,11,5.436957,0.12747005,5.0249719777769695
138,de,Approx,19,12,5.666163,0.13015644,5.130872473071706
139,de,Approx,19,13,5.2904305,0.122350074,4.823138907504651
140,de,Approx,19,14,5.5208344,0.13365492,5.268784792253508
141,de,Approx,19,15,5.4934144,0.131982,5.202837028602571
142,de,Approx,19,16,5.6274214,0.13314652,5.248743520093983
143,de,Approx,19,17,5.317586,0.13501154,5.322263604911299
144,de,Approx,19,18,0.84009725,0.026739396,1.0540886286547475
145,de,Approx,20,0,4.0168,0.11085317,4.056377695522365
146,de,Approx,20,1,5.018196,0.122802794,4.493643116817942
147,de,Approx,20,2,5.602264,0.1322609,4.839737085004503
148,de,Approx,20,3,5.2710156,0.12909348,4.723833952504713
149,de,Approx,20,4,5.233806,0.13120458,4.801083504658153
150,de,Approx,20,5,5.364754,0.14480785,5.298859233995301
151,de,Approx,20,6,5.4496503,0.13540749,4.954878598743627
152,de,Approx,20,7,5.3754606,0.13437323,4.917032477758447
153,de,Approx,20,8,5.4511642,0.13904463,5.08797000873665
154,de,Approx,20,9,5.5295577,0.14217135,5.202383359559661
155,de,Approx,20,10,5.720643,0.13575219,4.967491442794497
156,de,Approx,20,11,5.571893,0.13956259,5.106923637178602
157,de,Approx,20,12,5.6651344,0.14086722,5.154662898219352
158,de,Approx,20,13,5.553919,0.1315361,4.813214845000064
159,de,Approx,20,14,5.677212,0.1401321,5.127762627377949
160,de,Approx,20,15,5.584125,0.13099623,4.793459982333326
161,de,Approx,20,16,5.777109,0.1468931,5.375163929967968
162,de,Approx,20,17,6.065213,0.15454242,5.655069751213097
163,de,Approx,20,18,5.3318524,0.1395919,5.107995571278804
164,de,Approx,20,19,0.7907848,0.027598811,1.0099053982989656
165,de,Efficient-OV,10,0,7.5843625,0.12141039,5.2403737197879074
166,de,Efficient-OV,10,1,5.806311,0.11632182,5.02073873817613
167,de,Efficient-OV,10,2,5.049904,0.12408883,5.355982154141578
168,de,Efficient-OV,10,3,5.375963,0.12236365,5.281518772965897
169,de,Efficient-OV,10,4,5.2125735,0.119997874,5.179406276359416
170,de,Efficient-OV,10,5,5.0784807,0.11655086,5.030624575027402
171,de,Efficient-OV,10,6,4.695232,0.10952852,4.727522778671854
172,de,Efficient-OV,10,7,5.555407,0.12885924,5.561884331862107
173,de,Efficient-OV,10,8,2.950715,0.10430787,4.502186461730549
174,de,Efficient-OV,10,9,0.66320336,0.028764855,1.2415625938417945
175,de,Efficient-OV,11,0,7.6628256,0.12217963,5.343875006259111
176,de,Efficient-OV,11,1,5.763023,0.124520086,5.446241459418128
177,de,Efficient-OV,11,2,5.1669884,0.12961966,5.669285791183532
178,de,Efficient-OV,11,3,5.4120383,0.12819636,5.607033804777563
179,de,Efficient-OV,11,4,5.474725,0.121584766,5.317856654961954
180,de,Efficient-OV,11,5,5.525762,0.12621641,5.520435635731992
181,de,Efficient-OV,11,6,5.163818,0.118117094,5.166188387209295
182,de,Efficient-OV,11,7,4.8465433,0.10779924,4.7149074334883805
183,de,Efficient-OV,11,8,5.361174,0.12150061,5.314176007817935
184,de,Efficient-OV,11,9,2.960334,0.10930459,4.780748194884844
185,de,Efficient-OV,11,10,0.6255226,0.02579149,1.1280644897522036
186,de,Efficient-OV,12,0,7.550103,0.12600623,5.646429304536653
187,de,Efficient-OV,12,1,5.7995872,0.11725924,5.254470674764096
188,de,Efficient-OV,12,2,5.0570035,0.11887739,5.326980754334136
189,de,Efficient-OV,12,3,5.5916147,0.1275941,5.717582865369527
190,de,Efficient-OV,12,4,5.7439547,0.12631236,5.660146433671595
191,de,Efficient-OV,12,5,5.376765,0.12251952,5.490186940270452
192,de,Efficient-OV,12,6,5.3127794,0.11037921,4.946171084085384
193,de,Efficient-OV,12,7,5.125152,0.11624342,5.208950632418578
194,de,Efficient-OV,12,8,4.7315726,0.11081243,4.965584370259512
195,de,Efficient-OV,12,9,5.487924,0.121493645,5.444217086202011
196,de,Efficient-OV,12,10,2.7969902,0.09490339,4.252688111037426
197,de,Efficient-OV,12,11,0.6438238,0.025214853,1.129895537868994
198,de,Efficient-OV,13,0,7.5247498,0.115489006,5.173855822285473
199,de,Efficient-OV,13,1,5.7424655,0.117855616,5.2798791115259815
200,de,Efficient-OV,13,2,5.0629487,0.12494311,5.597395729889442
201,de,Efficient-OV,13,3,5.314762,0.1174883,5.263423801933888
202,de,Efficient-OV,13,4,5.492232,0.11668809,5.2275741130195
203,de,Efficient-OV,13,5,5.399757,0.11555003,5.176589692736396
204,de,Efficient-OV,13,6,5.421772,0.117951356,5.284168504700686
205,de,Efficient-OV,13,7,5.445286,0.11951682,5.354299756477003
206,de,Efficient-OV,13,8,5.2449336,0.119156055,5.338137750329126
207,de,Efficient-OV,13,9,4.6613727,0.10552804,4.727609405157224
208,de,Efficient-OV,13,10,5.534545,0.12692814,5.68632418185487
209,de,Efficient-OV,13,11,2.8021228,0.098400764,4.408310376988452
210,de,Efficient-OV,13,12,0.6069388,0.024501678,1.097664264153485
211,de,Efficient-OV,14,0,7.46816,0.11647446,5.176238167518432
212,de,Efficient-OV,14,1,5.50536,0.11072,4.920504594701293
213,de,Efficient-OV,14,2,5.1597786,0.121168464,5.384843956142022
214,de,Efficient-OV,14,3,5.3591537,0.12085773,5.371035267795329
215,de,Efficient-OV,14,4,5.531745,0.11916562,5.295835742095163
216,de,Efficient-OV,14,5,5.3712125,0.12141116,5.395629898396562
217,de,Efficient-OV,14,6,5.5580926,0.11683479,5.192251592037525
218,de,Efficient-OV,14,7,5.4174314,0.11616684,5.162567254109784
219,de,Efficient-OV,14,8,5.288357,0.11489702,5.106135565772181
220,de,Efficient-OV,14,9,4.961747,0.11258303,5.003299097684644
221,de,Efficient-OV,14,10,4.6001077,0.09985023,4.437441166581654
222,de,Efficient-OV,14,11,5.32742,0.1241467,5.517199687044399
223,de,Efficient-OV,14,12,2.8921156,0.10148194,4.509955641671453
224,de,Efficient-OV,14,13,0.5886161,0.025648363,1.1398382939266547
225,de,Efficient-OV,15,0,7.52102,0.11967089,5.258714929131728
226,de,Efficient-OV,15,1,6.1158814,0.13022988,5.722710373047723
227,de,Efficient-OV,15,2,5.2082515,0.12672195,5.568561220180865
228,de,Efficient-OV,15,3,5.3389907,0.11826777,5.197058089766076
229,de,Efficient-OV,15,4,5.724696,0.1264821,5.558020785331995
