,language,variant,sentence_len,sentence_pos,delta_surpmean,delta_surpsem,delta_surpstd
242,de,Efficient-OV,16,2,5.389356,0.12140991,5.123728114991535
243,de,Efficient-OV,16,3,5.674974,0.11625152,4.906034325833779
244,de,Efficient-OV,16,4,5.565716,0.1131997,4.777241899296917
245,de,Efficient-OV,16,5,5.478603,0.11932866,5.035895578187955
246,de,Efficient-OV,16,6,5.6778646,0.121822685,5.141148081169712
247,de,Efficient-OV,16,7,5.62834,0.12152371,5.12853080280186
248,de,Efficient-OV,16,8,5.589228,0.11878498,5.012951619743728
249,de,Efficient-OV,16,9,5.5241127,0.120834716,5.09945383738483
250,de,Efficient-OV,16,10,5.409659,0.11677533,4.928140399050488
251,de,Efficient-OV,16,11,5.337134,0.11641878,4.913093170891272
252,de,Efficient-OV,16,12,4.9143095,0.107898906,4.553538491918817
253,de,Efficient-OV,16,13,4.7606807,0.11201417,4.727209881951662
254,de,Efficient-OV,16,14,4.6366067,0.1100353,4.643698232598526
255,de,Efficient-OV,16,15,2.470699,0.09098387,3.8396918284768495
256,de,Efficient-OV,17,0,7.2185917,0.12491758,5.081858540247773
257,de,Efficient-OV,17,1,5.9556713,0.11905854,4.987686249649251
258,de,Efficient-OV,17,2,5.3675528,0.11791949,4.93996815399032
259,de,Efficient-OV,17,3,5.541776,0.120113604,5.031885615151026
260,de,Efficient-OV,17,4,5.8146434,0.121445656,5.087688923186562
261,de,Efficient-OV,17,5,5.420579,0.11404333,4.777585744571487
262,de,Efficient-OV,17,6,5.4877744,0.11554213,4.840374127949363
263,de,Efficient-OV,17,7,5.5175176,0.11925384,4.995867597947941
264,de,Efficient-OV,17,8,5.511388,0.12277496,5.143376713003632
265,de,Efficient-OV,17,9,5.5708017,0.11592581,4.856447769748927
266,de,Efficient-OV,17,10,5.817694,0.12274792,5.14224446010234
267,de,Efficient-OV,17,11,5.570528,0.120301,5.039736013242738
268,de,Efficient-OV,17,12,5.1218076,0.10672642,4.471059966803276
269,de,Efficient-OV,17,13,4.8257594,0.0988164,4.139688165228322
270,de,Efficient-OV,17,14,4.7413683,0.11038575,4.62435927877302
271,de,Efficient-OV,17,15,4.689028,0.1183531,4.9581331804359925
272,de,Efficient-OV,17,16,2.364182,0.09077601,3.802854096824738
273,de,Efficient-OV,18,0,7.216184,0.12823491,5.089165255508299
274,de,Efficient-OV,18,1,6.10603,0.11917764,4.867352463788438
275,de,Efficient-OV,18,2,5.1450963,0.11537041,4.71186037136233
276,de,Efficient-OV,18,3,5.4819646,0.11645464,4.756142466939072
277,de,Efficient-OV,18,4,5.670666,0.119630665,4.885854618940264
278,de,Efficient-OV,18,5,5.647545,0.12503967,5.10676495038313
279,de,Efficient-OV,18,6,5.6161227,0.11873512,4.849279634506784
280,de,Efficient-OV,18,7,5.342808,0.115595125,4.721038245210396
281,de,Efficient-OV,18,8,5.8461633,0.12841517,5.24462395334571
282,de,Efficient-OV,18,9,5.590612,0.122568764,5.005850157603502
283,de,Efficient-OV,18,10,5.443156,0.11934306,4.874108172384811
284,de,Efficient-OV,18,11,5.4873424,0.11477471,4.687532152184781
285,de,Efficient-OV,18,12,5.587026,0.12382256,5.057056444924775
286,de,Efficient-OV,18,13,5.066447,0.11567984,4.7244982907245126
287,de,Efficient-OV,18,14,4.9001794,0.11166018,4.56033112983125
288,de,Efficient-OV,18,15,4.882067,0.11770839,4.807346883249902
289,de,Efficient-OV,18,16,4.8795877,0.12433701,5.078067568789997
290,de,Efficient-OV,18,17,2.437663,0.09405221,3.841201079593284
291,de,Efficient-OV,19,0,7.2378864,0.12959325,4.956836233925189
292,de,Efficient-OV,19,1,6.175276,0.1298627,5.119292153208059
293,de,Efficient-OV,19,2,5.4324975,0.12897746,5.08439625434658
294,de,Efficient-OV,19,3,5.8734217,0.13843392,5.45717646495986
295,de,Efficient-OV,19,4,5.850699,0.13286175,5.237517533237407
296,de,Efficient-OV,19,5,5.3079305,0.11917916,4.698138738711037
297,de,Efficient-OV,19,6,5.6303606,0.13089013,5.159794092850509
298,de,Efficient-OV,19,7,5.695482,0.13562933,5.3466173240724935
299,de,Efficient-OV,19,8,5.5429435,0.1282921,5.05737799698395
300,de,Efficient-OV,19,9,5.6169615,0.13023378,5.133920712432651
301,de,Efficient-OV,19,10,5.5435667,0.1276384,5.03160822549099
302,de,Efficient-OV,19,11,5.4477415,0.123727925,4.877454972506913
303,de,Efficient-OV,19,12,5.3460436,0.12343518,4.865914236126121
304,de,Efficient-OV,19,13,5.3634415,0.12359959,4.87239518198751
305,de,Efficient-OV,19,14,5.4271097,0.12898664,5.084757295119016
306,de,Efficient-OV,19,15,5.1750927,0.124439634,4.9055109064088604
307,de,Efficient-OV,19,16,4.94501,0.12369378,4.876108940086726
308,de,Efficient-OV,19,17,4.8379736,0.12820335,5.053879210973188
309,de,Efficient-OV,19,18,2.4485755,0.101498,4.001132972428635
310,de,Efficient-OV,20,0,7.0382814,0.13986856,4.915339950611681
311,de,Efficient-OV,20,1,5.9478765,0.13464798,4.927085758180116
312,de,Efficient-OV,20,2,5.2478085,0.14043838,5.138969951531587
313,de,Efficient-OV,20,3,5.8415484,0.13932186,5.098114148852574
314,de,Efficient-OV,20,4,5.9279785,0.14394028,5.267112927520256
315,de,Efficient-OV,20,5,5.8181186,0.14219284,5.203169981956062
316,de,Efficient-OV,20,6,5.834751,0.14205363,5.1980761928574335
317,de,Efficient-OV,20,7,5.7333117,0.14070344,5.148669348418141
318,de,Efficient-OV,20,8,5.63525,0.14084381,5.153805883426018
319,de,Efficient-OV,20,9,5.976727,0.14995213,5.487100754121609
320,de,Efficient-OV,20,10,5.770476,0.14131522,5.1710554955149135
321,de,Efficient-OV,20,11,5.5764513,0.13369627,4.892260494075895
322,de,Efficient-OV,20,12,5.6071496,0.1429501,5.230879409751109
323,de,Efficient-OV,20,13,5.578959,0.14298274,5.232074542262427
324,de,Efficient-OV,20,14,5.232163,0.12505366,4.576006841517639
325,de,Efficient-OV,20,15,5.2234015,0.13678366,5.005235469524344
326,de,Efficient-OV,20,16,5.1290736,0.13276386,4.858141310008221
327,de,Efficient-OV,20,17,4.9453535,0.12389222,4.533507634215531
328,de,Efficient-OV,20,18,4.7598505,0.13422257,4.911519175856958
329,de,Efficient-OV,20,19,2.245161,0.09925021,3.6317982541875033
330,de,Efficient-VO,10,0,4.7020802,0.11814968,4.897158252024079
331,de,Efficient-VO,10,1,5.2806067,0.1147018,4.950814492501965
332,de,Efficient-VO,10,2,4.8419185,0.11081248,4.782941982766788
333,de,Efficient-VO,10,3,4.7558937,0.105805255,4.566817615068059
334,de,Efficient-VO,10,4,4.921637,0.10825152,4.672404154223316
