,Unnamed: 0.1,Unnamed: 0,surprisal_mean,surprisal_sem,surprisal_std,surprisal_var_mean,surprisal_var_sem,surprisal_var_std,surprisal_var_doc_initial_mean,surprisal_var_doc_initial_sem,surprisal_var_doc_initial_std,surp_diff_squared_mean,surp_diff_squared_sem,surp_diff_squared_std,delta_surp_mean,delta_surp_sem,delta_surp_std,uidp_1_1_mean,uidp_1_1_sem,uidp_1_1_std,uidp_1_25_mean,uidp_1_25_sem,uidp_1_25_std,max_surp_mean,max_surp_sem,max_surp_std,language,variant,num_toks,model_seed,dataset
10,10,10,5.414548397064209,0.0062095401994224,5.042136192321777,23.63510704040527,0.1638718776148547,34.398143768310554,32.89568328857422,1.0222208501587302,59.20058822631836,26.02097700412761,0.16489471111176,34.61296707293972,4.86916446685791,0.0116575063201102,2.4470133781433105,64.32592010498047,0.2222952467274788,46.661842346191406,49.20386123657226,0.1553615136908245,32.61178970336914,14.598867416381836,0.0362584525569263,7.610956192016602,ru,Approx,20000000,none,wiki40b
11,11,11,5.382413387298584,0.0062885310890287,4.688620090484619,21.51067543029785,0.163910374320258,26.645397186279297,34.68235397338867,0.9454659374294224,43.72715377807617,22.76078513447862,0.180096534535455,29.27662914424925,4.6452064514160165,0.0112456411495504,1.8280950784683228,87.47603607177734,0.3113294005995837,50.60985565185547,64.73171234130861,0.2082892683951716,33.85955047607422,15.75898551940918,0.0450905426710443,7.329951763153076,en,Random_2,20000000,none,wiki40b
12,12,12,5.780856609344482,0.0063111647755763,5.124589443206787,24.49980163574219,0.1621607947309169,34.039047241210945,33.74695205688477,1.034598023809136,59.91742706298828,26.85527046114443,0.160494456099963,33.68931172457243,5.138986587524414,0.0115301691587211,2.420283794403076,68.51559448242189,0.234646406196716,49.25439834594726,52.24323272705078,0.16307245393432,34.23034286499023,15.01223850250244,0.0358066936736708,7.51614236831665,ru,Min_DL_Loc,20000000,none,wiki40b
13,13,13,5.147250652313232,0.006119815712297,4.968685150146484,23.06189155578613,0.16102848078032,33.801136016845696,32.127639770507805,0.9731858779082788,56.36079025268555,25.415574453237497,0.1622902777585608,34.066271758759484,4.775146961212158,0.0117246084336905,2.4610984325408936,61.27069854736328,0.2134615332797443,44.80750274658203,46.98619079589844,0.1498206025767787,31.44871520996093,14.25568675994873,0.036250349737341,7.609270095825195,ru,Real,20000000,none,wiki40b
14,14,14,6.167745113372803,0.0059827543386891,5.030533313751222,21.105693817138672,0.1347542018602773,30.07165336608887,31.114471435546875,0.5748145846163477,38.87551498413086,26.118469927676344,0.1432979457230435,31.978566829577783,4.466338157653809,0.0108364498446229,2.41827392578125,69.10177612304689,0.2401651462574746,53.59531784057617,52.4207878112793,0.1659962814604598,37.04389572143555,14.175853729248049,0.0355109380155468,7.924637317657472,tr,Random_4,20000000,none,wiki40b
15,15,15,4.769113540649414,0.0062397488869689,4.652144908905028,21.17294692993164,0.1735291266225421,28.20841217041016,34.210800170898445,0.9501200855033572,43.942420959472656,22.3843574323384,0.1876189720658825,30.498905211402537,4.52538013458252,0.0116734661235366,1.8976094722747805,77.99076843261719,0.2847958601162399,46.29578399658203,58.19500350952149,0.1928417276165923,31.347841262817383,15.333573341369627,0.0456899738381444,7.42724609375,en,Reverse,20000000,none,wiki40b
16,16,16,5.246752262115479,0.0072207202173417,4.980081558227539,22.448625564575195,0.1915986777339615,29.07127952575684,33.098331451416016,1.124880958443155,56.44615173339844,24.692609411511267,0.2123752399923175,32.223700132939875,4.430647373199463,0.0127547787397009,1.935282826423645,83.61151123046875,0.4226146629914286,64.12321472167969,61.84936904907226,0.2761047559388352,41.89334106445313,15.903947830200195,0.0560246297075185,8.500621795654299,hi,Random_4,20000000,none,wiki40b
17,17,17,5.2260475158691415,0.005741157751364,4.5815911293029785,20.94393920898437,0.2473142885037992,45.93503952026367,29.23439979553223,1.0073655100069316,62.55420684814453,22.54383042747816,0.252857408121989,46.9648176970502,4.309736251831056,0.0123784317727212,2.299119234085083,75.11664581298828,0.2590446135729186,48.11403274536133,56.12681579589844,0.1748207300604574,32.47052764892578,14.910518646240234,0.0414380458214228,7.696568965911865,id,Efficient_VO,20000000,none,wiki40b
18,18,18,6.084887981414795,0.0058928445788918,4.9550371170043945,20.39521026611328,0.1355665404674668,30.252893447875977,31.42730712890625,0.6075770595951253,41.086761474609375,25.36121583314199,0.1416936422107635,31.62054824931485,4.394639968872069,0.0109402096140876,2.4413998126983643,68.10087585449219,0.2386989320859996,53.26830673217774,51.59869003295898,0.1650066061251536,36.82300567626953,13.990290641784668,0.0356937596665811,7.965439796447754,tr,Efficient_VO,20000000,none,wiki40b
19,19,19,5.608626842498778,0.0058738955921287,4.687366485595703,22.003982543945312,0.2404910311918688,44.66753005981445,29.69426727294922,0.957491636125087,59.45693588256836,23.368365976834887,0.2343846287154557,43.53375066354224,4.506385326385498,0.012110524648961,2.24935245513916,80.52925109863281,0.2735636619271509,50.81075286865234,60.06447982788086,0.1834163497518683,34.067047119140625,15.331857681274414,0.0406825295563445,7.55621862411499,id,Random_1,20000000,none,wiki40b
